Movie Report
-------------
FrameFrame #    Frame Bytes    Total Bytes    Page
progress_fleche                  34            49
message                           0           558
postit_fond                     104             0
bt_close                         40            64
bt_soulignÈ                     107             0
clikhere                          0             0
emp1                             76           134
empreintes                        0             0
empreinte01                   16446             0
empreinte02                   17273             0
empreinte03                   17119             0
empreinte04                   17102             0
empreinte05                   18610             0
empreinte06                   18521             0
empreinte07                   17997             0
empreinte08                   17483             0
empreinte09                   17556             0
empreinte10                   20495             0
empreinte11                   17661             0
empreinte12                   17285             0
empreinte13                   19653             0
empreinte14                   18823             0
empreinte15                   18640             0
empreinte16                   19782             0
empreinteX                        0             0
empreinte18                   19010             0
empreinte19                   16860             0
empreinte20                   17370             0
messageaccuz                      0           657
resultat                        329           222
22                               45            44
ombre_pola                      135             0
fond_pola                        45             0
emp_select                      152             0
empX                              0             0
reperes                         127             0
help                            423          1403
key - down                     2680             0
key - left                     2681             0
key - right                    2681             0
key - PgUP                     2768             0
key - up                       2682             0
polaroid01                        0             0
clikhere4                        48            90
btaide                            0            76
btrevenir                        43            38
mov_coupe                         0           400
silhouette                      179             0
coupe                          2165             0
logo_1018                       415             0
Tween 5                           0            42
Tween 4                           0            43
Tween 3                           0            42
Tween 2                           0            42
Tween 1                           0            43
eclat_mov                         0             0
eclat                            62             0
aide2                             0          1442
20ans                            43             0
logo_20ans                        0             0
Symbol 102                      387             0
papier35                        192             0
Symbol 112                       54             0
reflet_fond_page                108             0
bt_valid                          0            49
Symbol 172                       70             0
bandeau_petit                     0             0
bt_jouer                        378            55
bt_log                            0            59
fond_page                      1787             0
manchettes_anim                  67           666
journal01                         0             0
fond_journal                    595             0
manch_01_bt                       0            49
manch_reflet                     79             0
manch_hit                        72             0
journal02                         0             0
manch_02_bt                       0            49
journal03                         0             0
manch_03_bt                       0            44
journal04                         0             0
manch_04_bt                       0            45
journal05                         0             0
manch_05_bt                       0            41
journal06                         0             0
manch_06_bt                       0            42
journal07                         0             0
manch_07_bt                       0            49
journal08                         0             0
manch_08_bt                       0            42
journal09                         0             0
manch_09_bt                       0            53
journal10                         0             0
manch_10_bt                       0            49
journal11                         0             0
manch_11_bt                       0            51
journal12                       144             0
manch_12_bt                       0            51
bt_onglet                        48             0
empreinte17_mask               5474             0
bt_retour                      2042             0
sablier                         589             0
sablier_verre                   266             0

Bitmap                     Compressed    Compression
-----------------------    ----------  --------  -----------
menottes.png                    5705      118064   JPEG Quality=20
pola02                          3786      163200   =20
pola01                          4956      257024   =20
12                              6168      172260   =20
11                              7995      172260   =20
10                              4887      172260   =20
09                              7366      172260   =20
08                              6326      172260   =20
07                              5207      172260   =20
05                              5946      172260   =20
06                              6079      172260   =20
0                               5849      172260   =20
03                              6249      172260   =20
02                              5187      172260   =20
01                              5981      172260   =20
mouche_calme.PNG                7287       94080   =9
mouche_vol.PNG                 10629       94080   =9
mouche_noailes.PNG              8623       94080   =9
papier_rouge.jpg                2910      192072   =80
papier                          2007       41760   =90
loupe.png                          0       68440   =1
20ans.PNG                          0       42400   =1

Tweened Shapes: 327 bytes


Sound name                 Bytes        Format    
-----------------------    ---------    ----------
HelveticaRounded BoldCond Bold   2304         !-FPSabcegilnorstuÈ
HelveticaNeue ExtBlackCond Bold    548        !ABORV
HelveticaNeue Condensed       549        !ABORV
HelveticaNeue UltraLigCond    554        !ABORV
Helvetica 95 Black Italic    1014        cefhilmnorÈ
Helvetica Italic             1875         '-:?SVacdehilnoprstuvzÍ
Helvetica Inserat             151        ?
Helvetica ExtraCompressed     938         !ACDEIMNPRSTUVX
Helvetica CondensedBlack     1201        0123456789
Helvetica CondensedLight     2475         '-.Cabcdefghilmnopqrstuvz‡
Courier New Bold              670        /01236
Helvetica Bold               1088         "acdeilnorstuv
HelveticaRounded BoldCond    3671         !,-EFMRVabcdegilmnoprstuvyz‡ÈÍ
Helvetica Compressed          692         !ACDEIRSU
Helvetica 95 Black           1395         ',.:?ACDEHILMNOPRSTUVZ
Helvetica 55 Roman           5034         ',-.0123456789:;ABCDEGHPSTUabcdefghilmnopqrstuvxz‡ËÈÓÙ
HelveticaRounded             1604         !?ABCDEILMNOPRSTUV
Helvetica Condensed          4769         &',-023:?ABCDEFIJLMNOPRSTUVabcdefhijlmnopqrstuvxz∞ËÈ
Arial Bold                  20115         !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~Åçèêù†°¢£§•¶ß®©™´¨≠ÆØ∞±≤≥¥µ∂∑∏π∫ªºΩæø¿¡¬√ƒ≈∆«»… ÀÃÕŒœ–—“”‘’÷◊ÿŸ⁄€‹›ﬁﬂ‡·‚„‰ÂÊÁËÈÍÎÏÌÓÔÒÚÛÙıˆ˜¯˘˙˚¸˝˛ˇåúäöüéûÉàòñóëíÇìîÑÜáïÖâãõÄô
Helvetica                    4717         !"'(),-./01236:=ACDEFGHIJLMNOPRSTUVZabcdefghijlmnopqrstuvxyz∞‡‚ËÈÓí
Arial                       20551         !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~Åçèêù†°¢£§•¶ß®©™´¨≠ÆØ∞±≤≥¥µ∂∑∏π∫ªºΩæø¿¡¬√ƒ≈∆«»… ÀÃÕŒœ–—“”‘’÷◊ÿŸ⁄€‹›ﬁﬂ‡·‚„‰ÂÊÁËÈÍÎÏÌÓÔÒÚÛÙıˆ˜¯˘˙˚¸˝˛ˇåúäöüéûÉàòñóëíÇìîÑÜáïÖâãõÄô
